,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net 
(Intercept) ,3.178*** ,3.19*** ,3.134*** ,3.125*** ,3.108*** ,3.095*** ,3.097*** ,3.091*** ,3.075*** ,5.54,6.453,4.048,4.958,3.923,2.979,2.592,3.13,2.898,2.634*** ,2.653*** ,2.562*** ,2.609*** ,2.623*** ,2.62*** ,2.622*** ,2.618*** ,2.6*** ,4.447,6.588,2.2,1.564,2.399,5.912,5.463,3.658,5.597
  ,-0.13, , , , , , , , ,-0.13, , , , , , , , ,-0.149, , , , , , , , ,-0.13, , , , , , , , 
lead(jan2016reduc,,-0.341, , , , , , , , ,-0.329, , , , , , , , ,-0.418, , , , , , , , ,-0.42, , , , , , , 
  ,,-0.467, , , , , , , , ,-0.446, , , , , , , , ,-0.353, , , , , , , , ,-0.362, , , , , , , 
lead(jan2016reduc_olive,,0.361, , , , , , , , ,0.361, , , , , , , , ,0.555* , , , , , , , , ,0.551* , , , , , , , 
  ,,-0.294, , , , , , , , ,-0.294, , , , , , , , ,-0.285, , , , , , , , ,-0.287, , , , , , , 
lead(jan2017reduc,,0.058, , , , , , , , ,0.067, , , , , , , , ,0.092, , , , , , , , ,0.099, , , , , , , 
  ,,-0.283, , , , , , , , ,-0.267, , , , , , , , ,-0.189, , , , , , , , ,-0.2, , , , , , , 
lead(jan2017reduc_olive,,-0.052, , , , , , , , ,-0.052, , , , , , , , ,-0.227* , , , , , , , , ,-0.227* , , , , , , , 
  ,,-0.13, , , , , , , , ,-0.13, , , , , , , , ,-0.13, , , , , , , , ,-0.13, , , , , , , 
lead(jan2016reduc,, ,-0.179, , , , , , , , ,-0.174, , , , , , , , ,-0.197, , , , , , , , ,-0.193, , , , , , 
  ,, ,-0.431, , , , , , , , ,-0.407, , , , , , , , ,-0.283, , , , , , , , ,-0.287, , , , , , 
lead(jan2016reduc_olive,, ,0.198, , , , , , , , ,0.205, , , , , , , , ,0.36, , , , , , , , ,0.364, , , , , , 
  ,, ,-0.234, , , , , , , , ,-0.234, , , , , , , , ,-0.229, , , , , , , , ,-0.229, , , , , , 
lead(jan2017reduc,, ,0.056, , , , , , , , ,0.057, , , , , , , , ,0.08, , , , , , , , ,0.075, , , , , , 
  ,, ,-0.285, , , , , , , , ,-0.255, , , , , , , , ,-0.173, , , , , , , , ,-0.171, , , , , , 
lead(jan2017reduc_olive,, ,-0.06, , , , , , , , ,-0.06, , , , , , , , ,-0.227* , , , , , , , , ,-0.227* , , , , , , 
  ,, ,-0.133, , , , , , , , ,-0.133, , , , , , , , ,-0.133, , , , , , , , ,-0.133, , , , , , 
lag(jan2016reduc,, , ,-0.155, , , , , , , , ,-0.157, , , , , , , , ,-0.153, , , , , , , , ,-0.165, , , , , 
  ,, , ,-0.497, , , , , , , , ,-0.542, , , , , , , , ,-0.318, , , , , , , , ,-0.339, , , , , 
lag(jan2016reduc_olive,, , ,0.17, , , , , , , , ,0.179, , , , , , , , ,0.184, , , , , , , , ,0.194, , , , , 
  ,, , ,-0.228, , , , , , , , ,-0.227, , , , , , , , ,-0.224, , , , , , , , ,-0.223, , , , , 
lag(jan2017reduc,, , ,0.05, , , , , , , , ,0.048, , , , , , , , ,0.102, , , , , , , , ,0.082, , , , , 
  ,, , ,-0.338, , , , , , , , ,-0.448, , , , , , , , ,-0.205, , , , , , , , ,-0.264, , , , , 
lag(jan2017reduc_olive,, , ,-0.031, , , , , , , , ,-0.031, , , , , , , , ,-0.215, , , , , , , , ,-0.215, , , , , 
  ,, , ,-0.133, , , , , , , , ,-0.133, , , , , , , , ,-0.133, , , , , , , , ,-0.133, , , , , 
lag(jan2016reduc,, , , ,-0.087, , , , , , , , ,-0.098, , , , , , , , ,-0.106, , , , , , , , ,-0.119, , , , 
  ,, , , ,-0.412, , , , , , , , ,-0.457, , , , , , , , ,-0.281, , , , , , , , ,-0.309, , , , 
lag(jan2016reduc_olive,, , , ,0.085, , , , , , , , ,0.105, , , , , , , , ,0.07, , , , , , , , ,0.092, , , , 
  ,, , , ,-0.198, , , , , , , , ,-0.197, , , , , , , , ,-0.196, , , , , , , , ,-0.195, , , , 
lag(jan2017reduc,, , , ,0.052, , , , , , , , ,0.052, , , , , , , , ,0.113, , , , , , , , ,0.1, , , , 
  ,, , , ,-0.289, , , , , , , , ,-0.391, , , , , , , , ,-0.196, , , , , , , , ,-0.26, , , , 
lag(jan2017reduc_olive,, , , ,-0.028, , , , , , , , ,-0.027, , , , , , , , ,-0.207, , , , , , , , ,-0.206, , , , 
  ,, , , ,-0.137, , , , , , , , ,-0.137, , , , , , , , ,-0.136, , , , , , , , ,-0.137, , , , 
lag(jan2016reduc,, , , , ,-0.034, , , , , , , , ,-0.038, , , , , , , , ,-0.053, , , , , , , , ,-0.054, , , 
  ,, , , , ,-0.143, , , , , , , , ,-0.147, , , , , , , , ,-0.155, , , , , , , , ,-0.162, , , 
lag(jan2016reduc_olive,, , , , ,0.024, , , , , , , , ,0.031, , , , , , , , ,-0.018, , , , , , , , ,-0.012, , , 
